"id","plaid_id","name","user_id"
"bockmbbxquk85tpdejtchvi5","13005056","Food and Drink, Restaurants, Asian","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"btbhyn121efjmmj639n89mf4","18012001","Service, Computers, Maintenance and Repair","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"btrzq5r5ht6x2vbzr21o59hc","12002002","Community, Assisted Living Services, Caretakers","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"bu7oc7vslji82qffa2qlx35r","12015002","Community, Organizations and Associations, Environmental","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"bv6wlrjmkjyb94htzn3shxqu","13005011","Food and Drink, Restaurants, Portuguese","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"byblpv2xgpsq7e7q4r606h49","17002000","Recreation, Athletic Fields","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"bz19yuucgjnv58c3xvpllgod","19006000","Shops, Beauty Products","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"c085b4ejzni9b3m4y2s2c7hs","18050008","Service, Real Estate, Boarding Houses","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"c1wmz6d5mxqgxd55qdyhev2y","14002005","Healthcare, Physicians, Plastic Surgeons","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"c42xsneehw0z8dkmafp01dxo","18035000","Service, Machine Shops","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"c5jlx0mhr2wlivf01nh1zzep","17023002","Recreation, Landmarks, Historic Sites","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"c6iv4kf67brtuapeux5awz6t","19040004","Shops, Outlet, Men's Store","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"c6rzmfp1beczz92wfkjuppim","22004000","Travel, Bus Stations","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"c796tss9xta3q4csvtc0atjv","18037010","Service, Manufacturing, Metal Products","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"c8ks9g37j6vzp1ivsefgb8vh","19001000","Shops, Adult","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"c9f0s8m7xb14wctxchcwz1q1","16003000","Payment, Loan","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"ca6e2d2f0zuc3qtweaqqqlmx","13003000","Food and Drink, Internet Cafes","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"cbvbwk6x9p6t4i3rcr8rzq2w","12008005","Community, Education, Driving Schools","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"cejubdljflv4ffn32rj9p6z7","17001019","Recreation, Arts and Entertainment, Aquarium","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"ceysjn1gw4qqzj2tnqz4a4ul","18068003","Service, Utilities, Heating, Ventilating, and Air Conditioning","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"cf5xnn1fjuasffmpr0046w54","18024000","Service, Home Improvement","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"cimzej19njitnxfuo7z85ggl","13005059","Food and Drink, Restaurants, Afghan","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"cjl7wg8l0734ltyxgdb2xohp","18001006","Service, Advertising and Marketing, Online Advertising","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"cjlueps6uhspa1rhyg24bvpz","14002018","Healthcare, Physicians, Dermatologists","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"cjv3km1gwdsw3wdiznchzwz3","12002001","Community, Assisted Living Services, Facilities and Nursing Homes","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"cmef83eoiyv01qdduocioon4","14001001","Healthcare, Healthcare Services, Psychologists","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"cnjjxks0oe104o1s4o0n3lus","18012000","Service, Computers","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"coylz9mi2z2hwbeytuin10j7","19052000","Shops, Wedding and Bridal","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"cs4d7ibrdjc1ndhbo9hdrq1x","13005034","Food and Drink, Restaurants, Ethiopian","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"cshxenl8qvrwfac1ywyxtccf","18024003","Service, Home Improvement, Swimming Pool Maintenance and Services","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"cu4d9im9fdy52z1511a71lni","18055000","Service, Rubber","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"cwj89rl0tszomuduzrri2qy0","19031000","Shops, Hobby and Collectibles","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"cxa3qu28kldvc1axpfzdnfg3","17001017","Recreation, Arts and Entertainment, Art Dealers and Galleries","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"cygnb393wh4s45fp2zwese0b","21012000","Transfer, Withdrawal","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"czuusjjnp9ubauaw4fip21rt","22015000","Travel, Rail","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"d1zvinw1uf5zh7cwqrld94yc","18040001","Service, Mining, Coal","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"d2eo3l2sh8jgi3l8fqx2a4tz","17023000","Recreation, Landmarks","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"d2wbjnwhsu9npca8yf1jemo0","18024008","Service, Home Improvement, Pest Control","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"d6teyceicm55tkrrw41d2v4k","19019000","Shops, Digital Purchase","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"d7hxduqby2uhc89jnuypllw7","13005054","Food and Drink, Restaurants, Bagel Shop","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"ddtw3tyik9yvu7oaegxcox0h","14002008","Healthcare, Physicians, Orthopedic Surgeons","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"dep2xs2q0k3n7gpz4gwtbggr","10006000","Bank Fees, Wire Transfer","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"dg3zebialhdgixs55pmy5nxz","21002000","Transfer, ACH","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"dgi4xa8zhz5noirogy68nm7x","17033000","Recreation, Recreation Centers","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"dgllphi2ikf8bprlyozweq3l","18001009","Service, Advertising and Marketing, Creative Services","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
"dime4e6qxf6icw5fllp2feh8","19040006","Shops, Outlet, Kids' Store","user_2t7LPELjl3DoCTAUop6S5ONUFVL"
